,transID,cumid,time,amount,type_label,type
0,9407,10001,14JUN09:17:58:34,199.0,normal,Normal
1,9625,10001,16JUN09:15:09:13,369.0,normal,Normal
2,11837,10001,01JUL09:14:50:36,369.0,normal,Normal
3,26629,10001,14DEC09:18:05:32,359.0,normal,Normal
4,30850,10001,12APR10:13:02:20,399.0,normal,Normal
5,32007,10001,04MAY10:16:45:58,269.0,normal,Normal
6,36637,10001,04JUN10:20:03:06,0.0,giveaway,Presented
7,43108,10001,06JUL10:16:56:40,381.0,normal,Normal
8,43877,10001,10JUL10:20:41:54,-399.0,return,returned_goods
9,46081,10001,23JUL10:16:35:45,0.0,giveaway,Presented
10,51650,10001,05SEP10:15:53:48,0.0,giveaway,Presented
11,52266,10001,11SEP10:17:17:51,0.0,giveaway,Presented
12,52769,10001,17SEP10:12:47:43,120.0,normal,Normal
13,36050,10001,01JUN10:18:13:35,-295.0,return,returned_goods
14,43207,10001,07JUL10:20:05:36,0.0,giveaway,Presented
15,14812,10001,21JUL09:09:31:26,36.0,normal,Normal
16,24752,10001,12OCT09:10:39:32,300.0,sepecial_offer,Special_offer
17,24779,10001,12OCT09:10:59:13,120.0,sepecial_offer,Special_offer
18,30394,10001,31MAR10:20:29:48,0.0,giveaway,Presented
19,33073,10001,14MAY10:13:31:23,239.0,normal,Normal
20,38441,10001,14JUN10:17:36:21,269.0,normal,Normal
21,49759,10001,16AUG10:21:00:56,180.0,normal,Normal
22,51758,10001,06SEP10:18:56:27,150.0,normal,Normal
23,25214,10001,18OCT09:13:48:31,169.0,normal,Normal
24,27652,10001,10JAN10:19:11:04,100.0,normal,Normal
25,28122,10001,21JAN10:15:50:28,0.0,giveaway,Presented
26,42102,10001,01JUL10:19:11:04,0.0,giveaway,Presented
27,3753,10002,15MAY09:16:44:52,249.0,normal,Normal
28,5560,10002,21MAY09:09:35:22,3.0,normal,Normal
29,21160,10002,04SEP09:14:51:57,-242.0,return,returned_goods
30,37630,10002,09JUN10:17:08:55,0.0,giveaway,Presented
31,39040,10002,17JUN10:14:19:45,20.0,normal,Normal
32,39801,10002,19JUN10:21:13:53,314.0,normal,Normal
33,33913,10002,20MAY10:18:55:13,224.0,normal,Normal
34,7401,10002,31MAY09:14:19:33,0.0,giveaway,Presented
35,16161,10002,29JUL09:19:21:41,36.0,normal,Normal
36,29563,10002,03MAR10:10:14:24,179.0,normal,Normal
37,32325,10002,07MAY10:18:38:31,0.0,giveaway,Presented
38,33901,10002,20MAY10:18:36:24,179.0,normal,Normal
39,38125,10002,12JUN10:19:48:36,399.0,normal,Normal
