,client_id,sex,birth_date,district_id
0,1,Female,1970-12-13,18
1,2,Male,1945-02-04,1
2,3,Female,1940-10-09,1
3,4,Male,1956-12-01,5
4,5,Female,1960-07-03,5
5,6,Male,1919-09-22,12
6,7,Male,1929-01-25,15
7,8,Female,1938-02-21,51
8,9,Male,1935-10-16,60
9,10,Male,1943-05-01,57
10,11,Female,1950-08-22,57
11,12,Male,1981-02-20,40
12,13,Female,1974-05-29,54
13,14,Female,1942-06-22,76
14,15,Female,1918-08-28,21
15,16,Male,1919-02-25,21
16,17,Male,1934-10-13,76
17,18,Female,1931-04-05,76
18,19,Male,1942-12-28,47
19,20,Male,1979-01-04,46
20,21,Female,1952-10-29,12
21,22,Female,1969-10-11,1
22,23,Male,1973-05-29,1
23,24,Female,1939-07-29,43
24,25,Female,1939-04-23,21
25,26,Female,1969-04-20,74
26,27,Female,1966-03-26,54
27,28,Male,1945-09-29,1
28,29,Female,1951-09-11,30
29,30,Female,1957-10-09,74
30,31,Male,1962-02-09,68
31,32,Male,1980-07-28,52
32,33,Female,1948-12-04,73
33,36,Female,1978-07-17,7
34,37,Male,1970-08-10,7
35,38,Female,1973-07-23,36
36,39,Male,1968-01-25,68
37,40,Female,1957-01-22,5
38,41,Male,1968-08-27,22
39,42,Male,1935-08-17,68
40,43,Male,1920-10-28,75
41,44,Female,1977-01-11,38
42,45,Male,1952-08-26,20
43,46,Female,1940-01-30,19
44,47,Male,1934-07-14,76
45,48,Male,1940-02-09,16
46,49,Female,1959-05-11,72
47,50,Female,1978-07-30,39
48,51,Female,1979-12-02,36
49,52,Male,1924-12-12,32
50,53,Male,1977-05-05,64
51,55,Female,1948-09-18,45
52,56,Male,1960-03-31,21
53,57,Female,1961-12-17,21
54,58,Female,1927-04-29,1
55,59,Male,1957-02-18,1
56,60,Male,1980-02-19,67
57,61,Female,1948-08-06,16
58,62,Male,1932-12-08,77
59,63,Male,1959-06-04,4
60,64,Male,1926-04-22,20
61,65,Female,1943-05-27,50
62,66,Female,1951-11-10,1
63,67,Female,1932-11-11,29
64,68,Male,1946-12-14,43
65,70,Male,1925-12-22,70
66,71,Female,1927-02-06,70
67,72,Male,1923-01-13,47
68,73,Male,1924-02-20,22
69,74,Female,1925-07-26,22
70,75,Female,1977-09-19,64
71,76,Female,1967-10-01,36
72,77,Female,1956-02-18,1
73,78,Female,1944-06-13,16
74,79,Female,1969-03-10,37
75,80,Female,1979-02-25,64
76,81,Male,1976-04-29,8
77,82,Female,1979-12-25,8
78,83,Female,1978-12-25,1
79,84,Male,1979-05-05,1
80,85,Male,1961-08-27,1
81,86,Female,1969-07-20,1
82,87,Female,1946-11-17,72
83,89,Female,1951-05-05,1
84,90,Male,1975-08-17,52
85,91,Male,1940-08-07,63
86,92,Female,1966-06-12,74
87,93,Male,1925-02-16,3
88,94,Male,1947-09-09,43
89,95,Female,1952-08-03,43
90,96,Male,1972-02-29,74
91,97,Male,1965-11-28,26
92,98,Female,1973-05-04,33
93,99,Male,1973-01-26,33
94,100,Female,1942-08-11,44
95,101,Male,1943-01-23,68
96,102,Female,1958-09-10,74
97,103,Male,1955-07-11,74
98,105,Male,1980-05-26,31
99,106,Female,1968-12-30,68
100,107,Male,1972-06-23,1
101,108,Male,1963-09-13,17
102,110,Female,1967-04-13,2
103,112,Male,1935-01-25,1
104,113,Female,1940-08-15,1
105,114,Female,1969-06-24,74
106,115,Male,1969-12-24,74
107,116,Male,1942-01-28,74
108,117,Female,1936-09-20,74
109,118,Male,1922-07-19,55
110,119,Female,1922-02-28,55
111,120,Male,1976-05-10,1
112,121,Female,1978-10-29,41
113,122,Female,1963-11-13,35
114,123,Male,1969-02-12,11
115,124,Male,1967-09-21,44
116,125,Male,1936-10-31,37
117,126,Female,1929-09-27,37
118,127,Female,1950-12-27,21
119,128,Female,1973-04-04,63
120,129,Female,1947-05-31,64
121,130,Male,1942-02-14,53
122,131,Female,1977-01-31,53
123,132,Male,1953-01-26,36
124,134,Male,1932-01-18,6
125,135,Female,1938-09-10,6
126,136,Female,1921-01-26,55
127,137,Male,1923-09-14,60
128,138,Female,1972-10-21,54
129,139,Female,1959-07-25,8
130,140,Male,1961-06-06,8
131,141,Male,1925-11-02,31
132,142,Male,1937-06-21,68
133,143,Male,1978-07-09,27
134,144,Male,1958-12-06,65
135,145,Male,1978-02-14,55
136,146,Female,1961-12-19,31
137,147,Female,1933-11-02,21
138,148,Male,1940-12-25,21
139,149,Male,1948-06-27,55
140,150,Female,1980-09-27,2
141,151,Female,1971-09-23,51
142,152,Female,1945-12-02,29
143,153,Female,1981-02-12,13
144,154,Male,1933-08-27,74
145,155,Female,1939-03-13,74
146,156,Female,1930-07-22,54
147,157,Female,1943-07-09,52
148,158,Female,1945-07-03,40
149,159,Male,1938-09-10,40
150,160,Female,1942-04-26,64
151,161,Female,1943-10-07,34
152,162,Male,1941-10-17,65
153,163,Male,1933-06-12,74
154,164,Female,1962-04-04,70
155,165,Male,1968-11-08,22
156,166,Female,1961-10-22,22
157,167,Female,1978-04-18,38
158,168,Female,1976-11-05,24
159,169,Male,1953-09-12,38
160,170,Female,1946-06-16,38
161,171,Male,1929-06-25,51
162,172,Female,1935-10-05,51
163,173,Female,1918-12-08,21
164,174,Male,1978-11-10,10
165,175,Male,1960-07-13,31
166,176,Male,1929-03-11,4
167,178,Male,1960-12-22,8
168,179,Male,1980-12-29,43
169,180,Male,1982-01-19,73
170,181,Male,1967-07-06,76
171,182,Female,1959-07-13,76
172,183,Female,1978-03-19,1
173,184,Male,1972-06-05,1
174,185,Male,1954-05-30,77
175,186,Female,1961-02-22,46
176,187,Male,1942-08-23,58
177,188,Male,1960-09-02,64
178,189,Male,1919-08-10,11
179,190,Female,1947-10-31,37
180,191,Male,1954-09-03,37
181,192,Male,1971-02-28,70
182,193,Male,1962-05-01,1
183,194,Female,1924-12-20,28
184,195,Male,1919-11-18,74
185,196,Female,1927-06-25,74
186,197,Male,1933-04-25,30
187,198,Male,1976-07-14,60
188,199,Male,1923-06-21,29
189,200,Female,1928-01-13,29
190,201,Female,1930-08-19,17
191,202,Female,1976-11-21,29
192,203,Male,1962-06-10,31
193,204,Female,1967-06-17,31
194,205,Female,1942-06-15,4
195,206,Female,1963-04-13,59
196,207,Male,1932-05-20,46
197,208,Female,1940-06-25,13
198,209,Male,1935-08-20,13
199,210,Male,1939-11-30,66
200,211,Female,1945-06-28,66
201,212,Male,1975-02-10,52
202,215,Male,1967-09-24,71
203,216,Male,1960-01-30,1
204,217,Female,1974-12-22,59
205,218,Female,1980-01-23,1
206,219,Female,1964-04-02,60
207,221,Female,1977-02-25,21
208,222,Female,1972-06-29,47
209,223,Female,1952-02-27,43
210,224,Male,1955-05-11,77
211,225,Male,1936-05-10,32
212,226,Male,1942-06-16,1
213,227,Female,1926-12-18,52
214,228,Female,1956-03-16,48
215,229,Male,1969-07-22,76
216,230,Female,1967-03-10,74
217,231,Male,1941-02-18,41
218,232,Female,1921-06-17,55
219,233,Female,1958-12-03,69
220,234,Male,1955-06-21,69
221,235,Female,1943-08-28,44
222,236,Male,1961-09-01,70
223,237,Female,1969-02-22,70
224,238,Female,1961-11-28,6
225,239,Female,1974-09-10,1
226,240,Female,1929-06-17,34
227,241,Male,1959-01-23,70
228,242,Female,1961-08-01,17
229,243,Male,1954-02-10,63
230,246,Female,1970-12-28,67
231,247,Male,1957-05-08,1
232,248,Female,1969-12-12,61
233,249,Male,1970-05-05,61
234,250,Female,1979-11-25,8
235,251,Female,1976-03-03,54
236,252,Female,1969-09-01,37
237,253,Female,1947-05-12,48
238,254,Male,1963-05-30,28
239,255,Female,1951-10-11,27
240,256,Female,1963-02-27,73
241,257,Female,1942-11-04,22
242,258,Male,1937-05-31,22
243,259,Male,1966-06-08,31
244,260,Female,1962-02-24,31
245,261,Female,1937-12-07,38
246,262,Male,1945-11-25,77
247,263,Male,1962-05-20,68
248,264,Male,1978-08-22,28
249,265,Female,1933-01-07,72
250,266,Female,1967-08-28,19
251,267,Male,1967-06-12,37
252,268,Female,1982-05-02,39
253,269,Female,1923-12-03,15
254,270,Male,1947-03-08,46
255,271,Female,1945-07-27,46
256,272,Female,1944-10-25,70
257,273,Female,1972-05-15,27
258,274,Female,1970-11-25,17
259,275,Female,1918-11-12,1
260,276,Male,1957-06-11,1
261,277,Female,1961-11-28,1
262,278,Female,1972-12-27,22
263,279,Male,1970-05-16,22
264,280,Female,1969-12-18,45
265,282,Female,1938-02-24,73
266,283,Male,1933-11-04,73
267,284,Male,1974-08-06,10
268,285,Male,1954-06-03,72
269,286,Female,1952-04-18,72
270,287,Male,1980-09-09,50
271,288,Male,1962-04-21,6
272,289,Male,1958-03-27,54
273,290,Male,1959-01-12,72
274,291,Female,1955-04-27,72
275,292,Female,1958-09-06,15
276,293,Male,1943-09-27,69
277,294,Male,1968-03-21,58
278,295,Male,1939-03-27,12
279,296,Male,1974-03-01,65
280,297,Female,1924-03-15,65
281,298,Male,1921-06-13,65
282,300,Female,1957-07-30,1
283,301,Male,1942-01-10,28
284,302,Male,1971-02-23,56
285,303,Male,1946-05-06,74
286,304,Female,1934-03-11,19
287,305,Male,1938-06-08,46
288,308,Female,1976-06-12,68
289,309,Female,1969-12-14,37
290,310,Male,1950-04-16,11
291,311,Female,1930-09-16,64
292,312,Male,1924-07-03,2
293,313,Female,1942-05-11,24
294,314,Male,1945-03-22,24
295,315,Male,1967-05-01,54
296,316,Male,1955-04-28,75
297,317,Female,1957-10-06,64
298,318,Female,1943-04-02,15
299,319,Female,1929-04-04,19
300,320,Male,1934-11-12,19
301,321,Female,1943-10-24,47
302,322,Male,1933-02-01,38
303,323,Female,1938-04-04,38
304,324,Male,1960-12-03,3
305,325,Male,1960-02-21,3
306,326,Female,1967-09-18,27
307,327,Male,1968-10-13,27
308,328,Female,1918-01-24,1
309,329,Male,1964-12-03,11
310,330,Female,1944-08-05,65
311,331,Male,1942-03-02,1
312,332,Male,1978-07-25,29
313,333,Male,1971-10-19,38
314,334,Male,1969-10-31,32
315,335,Female,1967-07-22,73
316,336,Female,1964-02-11,39
317,337,Male,1957-05-08,39
318,338,Female,1951-06-19,8
319,339,Male,1966-07-30,1
320,340,Female,1970-08-19,1
321,341,Male,1977-03-16,69
322,342,Female,1972-06-30,69
323,343,Male,1919-11-19,44
324,344,Female,1963-07-16,54
325,345,Male,1953-12-07,17
326,346,Female,1960-11-02,17
327,347,Male,1959-12-13,71
328,348,Female,1953-01-24,71
329,349,Female,1927-05-27,39
330,350,Female,1925-04-02,25
331,351,Male,1973-05-01,1
332,352,Male,1940-08-27,56
333,353,Male,1965-10-26,7
334,354,Female,1922-04-27,49
335,355,Male,1930-05-31,49
336,356,Female,1979-12-07,1
337,357,Male,1979-03-30,1
338,358,Female,1959-06-26,7
339,359,Male,1970-02-16,66
340,360,Male,1943-04-27,49
341,361,Female,1977-05-25,74
342,362,Female,1950-04-27,35
343,363,Male,1942-07-01,35
344,364,Female,1942-12-05,54
345,365,Male,1930-01-09,1
346,366,Female,1936-11-10,1
347,367,Female,1963-09-03,60
348,368,Male,1968-10-14,60
349,369,Female,1930-11-06,7
350,370,Female,1956-01-05,71
351,371,Male,1942-07-16,4
352,372,Male,1932-04-03,34
353,373,Male,1936-02-28,16
354,374,Male,1967-06-14,26
355,375,Female,1969-09-29,61
356,376,Female,1973-01-08,14
357,378,Male,1978-05-15,50
358,379,Female,1983-10-13,50
359,380,Male,1973-01-19,41
360,381,Female,1977-01-26,73
361,382,Male,1978-06-30,73
362,383,Female,1939-05-17,15
363,384,Male,1935-10-08,15
364,385,Male,1948-03-24,45
365,386,Male,1980-08-21,62
366,387,Male,1927-06-06,76
367,388,Female,1950-10-30,36
368,389,Female,1974-06-30,47
369,390,Female,1977-01-27,47
370,391,Female,1933-05-22,47
371,392,Female,1950-04-01,74
372,393,Male,1956-08-31,74
373,394,Female,1924-05-18,52
374,395,Male,1919-07-05,52
375,396,Male,1920-05-02,1
376,397,Male,1930-03-27,75
377,398,Female,1925-03-26,61
378,399,Male,1952-04-14,45
379,400,Male,1933-12-27,1
380,401,Female,1928-11-19,1
381,402,Male,1943-12-25,3
382,403,Female,1973-05-26,42
383,404,Male,1967-04-20,42
384,405,Female,1934-10-19,65
385,406,Male,1977-05-15,36
386,407,Female,1975-05-27,73
387,408,Female,1978-02-22,35
